Gmt time,Open,High,Low,Close,Volume
22.08.2024 00:00:00.000,2512.635,2513.415,2511.295,2511.368,353090.0033
22.08.2024 00:15:00.000,2511.368,2512.568,2511.018,2511.855,235979.99999999997
22.08.2024 00:30:00.000,2511.865,2513.575,2511.155,2513.355,192330.00470000002
22.08.2024 00:45:00.000,2513.355,2514.545,2512.845,2513.585,192240.00060000003
22.08.2024 01:00:00.000,2513.548,2513.918,2510.395,2511.235,784109.9939999998
22.08.2024 01:15:00.000,2511.295,2512.925,2511.165,2512.505,341070.00000000006
22.08.2024 01:30:00.000,2512.515,2512.745,2508.145,2508.735,567399.9999999999
22.08.2024 01:45:00.000,2508.735,2509.488,2506.915,2507.475,430710.0084
22.08.2024 02:00:00.000,2507.465,2508.515,2506.065,2506.875,801829.9948
22.08.2024 02:15:00.000,2506.925,2506.965,2502.355,2503.115,746699.9981000001
22.08.2024 02:30:00.000,2503.125,2504.815,2500.155,2501.108,1435969.9784999997
22.08.2024 02:45:00.000,2501.078,2502.308,2499.815,2502.158,818199.9975000002
22.08.2024 03:00:00.000,2502.158,2503.495,2501.048,2502.204,371329.9969
22.08.2024 03:15:00.000,2502.215,2502.865,2500.994,2502.645,357480.00259999995
22.08.2024 03:30:00.000,2502.665,2504.605,2502.255,2502.695,501049.9971
22.08.2024 03:45:00.000,2502.625,2503.148,2501.328,2502.268,467309.99929999997
22.08.2024 04:00:00.000,2502.205,2502.288,2500.215,2500.255,229500.00050000002
22.08.2024 04:15:00.000,2500.245,2501.025,2500.128,2500.485,220229.99920000002
22.08.2024 04:30:00.000,2500.465,2501.955,2499.204,2501.805,357680.00320000004
22.08.2024 04:45:00.000,2501.785,2502.205,2500.805,2501.795,144969.99829999998
22.08.2024 05:00:00.000,2501.795,2502.555,2500.555,2502.435,250919.9994
22.08.2024 05:15:00.000,2502.435,2503.475,2502.195,2503.235,194099.9975
22.08.2024 05:30:00.000,2503.275,2503.685,2500.695,2501.815,544779.9973
22.08.2024 05:45:00.000,2501.775,2506.185,2500.995,2505.405,454520.002
22.08.2024 06:00:00.000,2505.405,2507.108,2504.355,2507.108,972270.0101
22.08.2024 06:15:00.000,2507.095,2510.445,2506.325,2510.335,549480.0005999999
22.08.2024 06:30:00.000,2510.335,2510.485,2503.415,2505.495,1306239.9886
22.08.2024 06:45:00.000,2505.495,2508.765,2505.295,2507.358,1396230.0009
22.08.2024 07:00:00.000,2507.355,2509.335,2506.465,2508.445,435800.0020000001
22.08.2024 07:15:00.000,2508.474,2509.035,2504.325,2505.855,467230.00549999997
22.08.2024 07:30:00.000,2505.795,2508.275,2505.455,2507.394,726110.0058
22.08.2024 07:45:00.000,2507.358,2509.658,2506.798,2506.948,291810.0003
22.08.2024 08:00:00.000,2506.935,2507.365,2504.315,2504.355,354759.99869999994
22.08.2024 08:15:00.000,2504.365,2505.095,2502.395,2503.855,300359.9988
22.08.2024 08:30:00.000,2503.925,2504.565,2502.355,2503.635,297719.99830000004
22.08.2024 08:45:00.000,2503.645,2504.145,2502.535,2503.555,259409.9985
22.08.2024 09:00:00.000,2503.555,2504.085,2501.015,2501.545,486650.00310000003
22.08.2024 09:15:00.000,2501.595,2505.545,2501.495,2505.025,395600.0023
22.08.2024 09:30:00.000,2504.985,2507.965,2504.395,2507.285,331530.0003
22.08.2024 09:45:00.000,2507.305,2507.455,2505.415,2507.165,414489.9985
22.08.2024 10:00:00.000,2507.218,2508.385,2506.428,2506.725,705600.0037
